Contract Address,Single-Contract Signature Replay,Signature Front-Running,Signature Malleability,Cross-Contract Signature Replay,Insufficient Signature Verification,Weak Randomness from Hashing Chain Attributes,Hash Collisions With Dynamic-Length Arguments,Merkle Proof Replay,Merkle Proof Front Running
0x9981CD5cd2E7AD5dda4B7896e22688A32A500b27,TN,TN,TN,TN,TN,TN,TN,TN,TN
0xb01fd7Bc0B3c433e313bf92daC09FF3942212b42,TN,TN,TN,FP,TN,TN,TN,TN,TN
0xa6aeF41BE341fB364A432Fb04A5d2bdD57546C76,TN,TN,TN,FP,TN,TN,TN,TN,TN
0xd3FeD75d934Ab824Ff7FEcd0f8A70f204e61769b,TN,TN,TN,FP,TN,TN,TN,TN,TN
0x448680a213cd197f348163Ba1BDe0b63bf67B6D0,TN,TN,TN,FP,TN,TN,TN,TN,TN
0x0554f068365eD43dcC98dcd7Fd7A8208a5638C72,TN,TN,TN,FP,TN,TN,TN,TN,TN
0xFA1EbA2C29806d2F462c778a62A3da33Fcd90F7e,TN,TN,TN,FP,TN,TN,TN,TN,TN
0x590bB4D4e0a5495D5bAc0998CC04A81b7895fF93,TN,TN,TN,FP,TN,TN,TN,TN,TN
0xBd4C4FF7Ae32b0a100b004838850ae5B17f4bde1,TN,TN,TN,FP,TN,TN,TN,TN,TN
0x3d29f705d5ac7E183AA186eC4ef982A39d45A9eF,TN,TN,TN,FP,TN,TN,TN,TN,TN
0xb6DC89FEffC5C58dA9a04aFB7f6E21060aB86DdF,TN,TN,TN,FP,TN,TN,TN,TN,TN
0x31B6D1289F96818E79dBB271bF77E8132B86e814,TN,TN,TN,FP,TN,TN,TN,TN,TN
0x0974e6c435C18DdfBbc1F500EDE24F99C3cf07F2,TN,TN,TN,FP,TN,TN,TN,TN,TN
0x99Ba4B0aA5dD3fa399Ce04aCa79459AcE1c0460c,TN,TN,TN,FP,TN,TN,TN,TN,TN
0x645095CC4Eca1515C19338cb0dD98d582CBF46C7,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xb6E72dF112f13d2bC38BDDF4EA252948cC739DE5,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xcb91f9B5762b5278961fC1AD3755e53cfA2D567F,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x4465c2c25abADA0DA14C7B8779497e242cF53f59,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x77BD077fFFe51EdFC4913Ee50506a3e59063bbEa,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xEF549c48F414A9e2E42EddFf1Fe0e540ee5e2E34,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xc3151A58d519B94E915f66B044De3E55F77c2dd9,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x48cE8812a4AA384A2aE8F56700D13B9A777Ec5fe,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x26d6831426936F6EBC7E82A232E0c4400E16975e,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x5cE3646Ee44a7A6015d742343D7D683f8FAA7a38,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x68E619737DeEbB852C4DAFbF6D8671fD0c87bd00,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xa4530ffa7a50F9798835629FC71E6e047D5A7616,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xB218E552De5BEF2BceA73590bFd0f709bB5D523f,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x88cf4d065f9d1578239D5c5020c24aEc16789034,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x9A7d15Ea9Ca00B3343c7DDF7932d95F7dF5a7B97,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x1C47AD80A8b0b467eB67ef23f2d4f772D500Fb08,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x4E52802872Ee6ac750cb87cdEaA5AEc705eB77F6,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xb5001239e825a1ec9cf42deafB18039B40e1944F,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xfE37d36eAD3F6aD82a214f5589C75c87D9e41dBe,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x8D020b5652764dAdD4ad7d9ff27B8F9a96Ef0F30,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xd55bf7FDa184233063C8E3e835bfe39E1A179919,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x3C54b798b3aAD4F6089533aF3bdbD6ce233019bB,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x08005e68736BB579FcA86195BEfC4BAF623a5BEa,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xCDDA914A1CC83250D1b97e85aCc24e33B338E871,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x0ed16f5C29E93C11c2B970c84e40EaB15d11cE5D,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xD1397aab5142A54B77b4F598F517ED421A68A325,TN,TN,TN,TP,TN,TN,TN,TN,TN
0xD49c1381f54E87e0E69735C103429444a400e575,TN,TN,TN,TP,TN,TN,TN,TN,TN
0x2C2e3BaA2191cF325A28A01FF42340F2ae677572,TN,TN,TN,TP,TN,FN,TN,TN,TN
0xa5170cCe81A8559bB6C1c14f41D0C4B24d32c5d5,TN,TN,TN,TP,TN,FN,TN,TN,TN
0xAB83bD5169F58e753d291223dCaBa4F7644aD3a9,TN,TN,TN,TP,TN,FN,TN,TN,TN
0xf896Bf59f0C489b11EcD2Bf223148C1196A9e717,TN,TN,TN,TP,TN,FN,TN,TN,TN
0xAAf3385bf59e0DBbEbd7c80a592bD05CC2bd8c74,TN,TN,TN,TP,TN,FN,TN,TN,TN
0xf17C9ffD50F2cAa47c473892E289A3c1812a2866,TN,TN,TN,TP,TN,FN,TN,TN,TN
0xc6D0f7bbd2455A54466f475DFbA753Cc6aA76B1d,TN,TN,TN,TP,TN,FN,TN,TN,TN
0x5Df892A4D541Cb55C62280125F0C38B46d9F55dF,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x472D5F614b3463D343133C15ADFb591fC833b63b,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x3ff0F7BDB699ba4b5E58D9Ea91F01e4B8E45ec68,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x28977EACcfD913e286CC0c421933C41F410Fd6b7,TN,TN,TN,TP,TN,TP,TN,TN,TN
0xEd1eba8B87cD7E04e9389f65F7AeCa750c85a010,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x586125cEfa34c7AD40236739dB7A51ae46361be1,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x2011b5D4D5287cc9D3462b4E8af0e4DaF29E3C1d,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x9792fB4c8Fcca2C18d836839c54D1d5F313A139e,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x79F0Ef4061AAF375060Ae31998C0f20806A6a127,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x8bDcA0301AD51ccBB94CA3D25D13bd210225254B,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x517E84661b86134072919F5E6BE686E6cAaA6bcF,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x71082D8413D50c147A2705eC9f60888a5d0980D0,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x3ef51736315F52d568D6D2cf289419b9CfffE782,TN,TN,TN,TP,TN,TP,TN,TN,TN
0xcf41e84288595089E966a47149139a8987f3a388,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x1E4AFE0c027d4F14FdbA4254eFC1A3ac2f7d49b5,TN,TN,TN,TP,TN,TP,TN,TN,TN
0x3038045cd883aBff0C6eEa4B1954843c0fA5a735,TP,TP,TP,TP,TN,TP,TP,TN,TN
0x4d4Adc193E8B8C82e26C36cDe939Aa10991326b9,TP,TP,TP,TP,TN,TP,TP,TN,TN
0x0E7f7d8007C0FCcAc2a813a25f205b9030697856,TP,TP,TP,TP,TN,TP,TP,TN,TN
0xE98cEAca54a44B197F7248DD96eEBade1cF7f399,TP,TP,TP,TP,TN,TP,TP,TN,TN
0xa0bA634de99b6032611fD0b59F14eb6e89E6094E,TP,TP,TP,TP,TN,TP,TP,TN,TN
0x31ecff90B73Fa983E0aAf5be6C07b20F734f3c02,TP,TP,TP,TP,TN,TP,TP,TN,TN
0xc2680D3670e9dcF42d8793b42Cf1541Ec0E73bc3,TP,TP,TP,TP,TN,TP,TP,TP,TP
0x6bA29728E955FF970C94D7Ab0A4FF17C628F325a,TP,TP,TP,TP,TP,TP,TP,TP,TP
0x9e8b85DBB082255Bd81c5b25323b694bc799a616,TP,TP,TP,FN,TP,TP,TP,TP,TP
0x7CC78084e8d7B2be045fD23D0cdf749599Db6Eb4,TP,TP,TP,TP,TP,TP,TP,TP,TP
0xa8F76e3Ef9960A0A8256A43D1F7Af685e5014a4E,TP,TP,TP,TP,TP,TP,TP,TP,TP
0x33ee3f6846C28f61809BE70d51D5a4a3A7cce39F,TP,TP,TP,TP,TP,TP,TP,TP,TP
0xF5A5D9Cbf14930B7aaF19d1a0B8188b7BB857689,TP,TP,TP,TP,TP,TP,TP,TP,TP
0xfD217296e581627C59e3a36c264eBfbCbd813223,TP,TP,TP,TP,TP,TP,TP,TP,TP
0x339269B0215dE3bB2471f0F14B8Aa34C7D0ce6D6,FN,TP,TP,TP,TP,TP,TP,TP,TP
0x67df3E4661Ab79EC8570Aa7af86D5Bc4de687490,FN,TP,TP,TP,TP,TP,TP,TP,TP
